,name,lat,long
0,Hancock OH,41.0004711,-83.6660335
1,Stafford VA,38.4132608,-77.4513342
2,Webster NE,40.1806461,-98.4985897
3,Dimmit TX,28.4235871,-99.7658713
4,Cedar IA,41.77236,-91.1326105
5,Deuel SD,44.7562899,-96.6902393
6,Howard IA,43.3653125,-92.3219084
7,Palm Beach FL,26.6491257,-80.4483542
8,St. Lawrence NY,44.4881125,-75.074311
9,Clark SD,44.8552107,-97.7249124
10,Dundy NE,40.180165,-101.6811327
11,Alamosa CO,37.5684423,-105.7880414
12,Citrus FL,28.8436402,-82.5248099
13,Williamsburg SC,33.6264617,-79.716474
14,Walworth WI,42.6681095,-88.5417306
15,Union IN,39.6231109,-84.9251523
16,Kandiyohi MN,45.1527137,-95.0049812
17,Washington ME,44.9670088,-67.6093542
18,Naguabo PR,18.2110697,-65.735749
19,Hoke NC,35.0172328,-79.2419635
20,Waseca MN,44.0184598,-93.5898443
21,Idaho ID,45.849644,-115.4673371
22,Hitchcock NE,40.1768964,-101.044217
23,Carter MT,45.5168247,-104.5153243
24,Benson ND,48.071743,-99.3511517
25,Warren IA,41.3324459,-93.5687512
26,Lawrence PA,40.9927352,-80.3344455
27,King William VA,37.7082604,-77.0910539
28,Coos OR,43.1859095,-124.0941335
29,Gaines TX,32.7439423,-102.6315614
30,Iberville LA,30.2706285,-91.3658481
31,Franklin FL,29.8101756,-84.7991742
32,Divide ND,48.8147537,-103.5093256
33,Union IL,37.4856521,-89.2446391
34,Beaufort SC,32.358112,-80.6894218
35,Crawford WI,43.24991,-90.9512302
36,Lubbock TX,33.6114688,-101.8199438
37,Dixie FL,29.5808994,-83.1956656
38,Washington GA,32.9718435,-82.7981123
39,Spokane WA,47.6203752,-117.4033714
40,Mercer WV,37.4034477,-81.106456
41,Escambia FL,30.6116382,-87.3388996
42,Noble OK,36.384901,-97.2363345
43,Washington NC,35.844713,-76.5722906
44,McDonough IL,40.4558082,-90.6789543
45,Monmouth NJ,40.2870481,-74.1524456
46,Delaware OK,36.3933755,-94.808217
47,Bourbon KS,37.8560997,-94.8509284
48,Kern CA,35.3466288,-118.7295064
49,Braxton WV,38.6993304,-80.7316597
50,Guilford NC,36.079065,-79.7886652
51,Pickens AL,33.2967933,-88.0968631
52,Routt CO,40.4836638,-106.9877021
53,Danville VA,36.5833337,-79.4080707
54,Roane WV,38.7429497,-81.3544939
55,Winnebago IL,42.3373957,-89.1612053
56,Western AS,-14.335468,-170.7842335
57,Brooks TX,27.0349936,-98.2152756
58,Marshall IL,41.0311192,-89.3423714
59,Iosco MI,44.3294821,-82.8494444
60,Dixon NE,42.4852801,-96.8558616
61,Appling GA,31.739712,-82.2901025
62,Cherokee TX,31.8438807,-95.1563425
63,Chippewa MN,45.0286254,-95.5641082
64,Harrison MS,30.4165357,-89.0833762
65,Klickitat WA,45.8704463,-120.7793049
66,Park MT,45.4214291,-110.5327601
67,Heard GA,33.2913469,-85.1378862
68,Live Oak TX,28.3515349,-98.1269608
69,Yuma CO,40.0007703,-102.4216491
70,Bannock ID,42.6929211,-112.2289819
71,Wilson TX,29.173883,-98.0867336
72,White IN,40.7509496,-86.8642934
73,Marshall TN,35.4683433,-86.765865
74,Wood WI,44.4614126,-90.0388252
75,Cobb GA,33.9399298,-84.5741123
76,Clear Creek CO,39.669732,-105.69257
77,Hill TX,31.9826809,-97.130668
78,Cheyenne NE,41.2142358,-103.0119289
79,Harvey KS,38.0501436,-97.4367065
80,Camuy PR,18.4454691,-66.863134
81,Mathews VA,37.4253479,-76.2688078
82,Onondaga NY,43.0065163,-76.1961336
83,Carbon UT,39.673284,-110.5884845
84,Centre PA,40.9091275,-77.8478769
85,Nicholas WV,38.2914318,-80.7975148
86,Shelby IN,39.5241345,-85.7921742
87,West Carroll LA,32.7924797,-91.4519982
88,Brooke WV,40.2726454,-80.578691
89,Putnam MO,40.4786055,-93.0145314
90,Marion IN,39.7829759,-86.1357939
91,Guayanilla PR,18.0053378,-66.7982933
92,Ward TX,31.5130687,-103.1051127
93,Caribou ID,42.7860724,-111.5442734
94,Bradley AR,33.4665491,-92.1691559
95,Boundary ID,48.7731313,-116.5246676
96,Charles Mix SD,43.2061853,-98.5951429
97,Upshur TX,32.7353495,-94.9411837
98,Haskell OK,35.2322953,-95.1095765
99,Rockingham VA,38.5075848,-78.8853213
100,Ashe NC,36.4434687,-81.4993343
101,Spotsylvania VA,38.1824314,-77.6572264
102,Sublette WY,42.7679284,-109.9161701
